Feature_Name,UMCFS_Importance_Value
std_MFCC_12th_coef,53079666399.88773
det_entropy_log_5_coef,52259585180.90633
tqwt_medianValue_dec_30,51808155237.75424
tqwt_kurtosisValue_dec_21,51517916118.028465
std_MFCC_6th_coef,51429019139.61602
tqwt_TKEO_mean_dec_22,51428840364.18298
tqwt_energy_dec_36,51231462737.86547
tqwt_TKEO_std_dec_26,50981175364.82343
tqwt_maxValue_dec_13,50679554048.831
GQ_std_cycle_closed,50465615275.1981
tqwt_TKEO_mean_dec_27,50271844088.03399
mean_MFCC_11th_coef,49958768762.20321
tqwt_TKEO_std_dec_18,49945983359.7158
tqwt_maxValue_dec_7,49783099640.58773
tqwt_kurtosisValue_dec_7,49416525167.50318
std_3rd_delta,49061073665.75206
tqwt_minValue_dec_22,48752748463.68599
tqwt_entropy_shannon_dec_24,48737524284.37605
tqwt_TKEO_std_dec_9,48735107114.76257
apq3Shimmer,47660375618.30051
