Feature_Name,FSASL_Importance_Value
tqwt_minValue_dec_26,1.5924241606465174e-11
tqwt_TKEO_mean_dec_2,1.588967542997947e-11
mean_delta_delta_0th,1.5774310027993744e-11
tqwt_energy_dec_3,1.569506002145704e-11
tqwt_medianValue_dec_21,1.5683424725745425e-11
mean_5th_delta,1.546823920964037e-11
mean_MFCC_5th_coef,1.546334974433137e-11
tqwt_entropy_shannon_dec_1,1.5367542887849878e-11
mean_3rd_delta_delta,1.5227058171726262e-11
tqwt_maxValue_dec_2,1.521684903799693e-11
tqwt_minValue_dec_2,1.512612298548597e-11
tqwt_TKEO_std_dec_35,1.458721450827889e-11
tqwt_meanValue_dec_7,1.4559966743180055e-11
tqwt_entropy_log_dec_2,1.4550447916947421e-11
det_entropy_log_3_coef,1.4531698015672236e-11
tqwt_stdValue_dec_6,1.45261549800744e-11
tqwt_entropy_log_dec_1,1.447324833484901e-11
meanAutoCorrHarmonicity,1.4459740919648603e-11
mean_MFCC_6th_coef,1.4392591605781498e-11
stdDevPeriodPulses,1.432109647906351e-11
GQ_std_cycle_open,1.4254684665124922e-11
app_LT_TKEO_std_2_coef,1.4222762507791748e-11
RPDE,1.3944753114324808e-11
app_det_TKEO_mean_5_coef,1.391563932173147e-11
tqwt_maxValue_dec_3,1.3896729186952952e-11
mean_MFCC_7th_coef,1.3889983638614641e-11
tqwt_stdValue_dec_9,1.387752257918107e-11
tqwt_TKEO_mean_dec_33,1.3751845040627224e-11
mean_7th_delta_delta,1.3717495939768239e-11
app_det_TKEO_mean_6_coef,1.3672795730701666e-11
tqwt_energy_dec_29,1.3608646761067923e-11
tqwt_stdValue_dec_5,1.351739619974529e-11
std_delta_delta_log_energy,1.3515609820567358e-11
tqwt_TKEO_std_dec_34,1.3506678499275321e-11
tqwt_skewnessValue_dec_6,1.3500650696104292e-11
tqwt_minValue_dec_3,1.3488276235795634e-11
tqwt_stdValue_dec_34,1.3481112787440173e-11
tqwt_entropy_shannon_dec_33,1.3435086332462942e-11
tqwt_minValue_dec_6,1.3337854623974305e-11
tqwt_maxValue_dec_6,1.3121907958058468e-11
