Feature_Name,UFSOL_Importance_Value
tqwt_entropy_shannon_dec_34,0.09290349751717382
tqwt_stdValue_dec_5,0.09264319110865239
tqwt_stdValue_dec_4,0.09252869483362001
tqwt_TKEO_std_dec_7,0.09249574052127824
Ed_4_coef,0.09224286421198417
det_entropy_shannon_5_coef,0.09222417407500741
det_entropy_log_5_coef,0.0922092207727434
det_entropy_log_6_coef,0.09206252166822569
det_entropy_log_3_coef,0.09185368645348098
tqwt_entropy_log_dec_15,0.09181558868392166
det_LT_entropy_log_3_coef,0.09176526379542929
tqwt_TKEO_mean_dec_7,0.09168727217132187
tqwt_entropy_log_dec_13,0.09164098632976554
det_LT_entropy_log_5_coef,0.09163688146347049
tqwt_entropy_log_dec_29,0.09159790026890713
det_TKEO_std_6_coef,0.09132345783054618
tqwt_stdValue_dec_15,0.09119018989648488
tqwt_maxValue_dec_13,0.09097061562230581
det_TKEO_mean_4_coef,0.09084412611976957
det_LT_TKEO_mean_4_coef,0.09072974366863568
tqwt_maxValue_dec_10,0.0906564139148454
tqwt_minValue_dec_10,0.09058057419589094
tqwt_entropy_log_dec_5,0.090564032919641
app_entropy_log_3_coef,0.09055573076301662
tqwt_stdValue_dec_13,0.09053464909394364
tqwt_maxValue_dec_15,0.09053008943635818
tqwt_minValue_dec_13,0.09042383335028993
det_LT_entropy_log_4_coef,0.0902275008139892
det_entropy_log_4_coef,0.09018460664441395
det_TKEO_std_5_coef,0.0900484066478201
det_LT_entropy_log_6_coef,0.09001023307113844
maxIntensity,0.08993997318949766
det_entropy_shannon_6_coef,0.08993583826963568
tqwt_minValue_dec_15,0.08990016192599157
Ed2_6_coef,0.08973760020871069
Ed_5_coef,0.0896676014143896
tqwt_entropy_log_dec_23,0.08960117503794171
tqwt_stdValue_dec_26,0.08960004383884884
tqwt_entropy_log_dec_22,0.08953138366442699
tqwt_entropy_log_dec_24,0.08951924534559756
tqwt_entropy_shannon_dec_15,0.08948481371147965
tqwt_entropy_log_dec_11,0.08916569825415067
tqwt_entropy_log_dec_26,0.08916316736419265
tqwt_entropy_log_dec_16,0.08909344125360852
tqwt_TKEO_std_dec_1,0.08904873990010266
tqwt_stdValue_dec_16,0.08895644418928488
det_LT_TKEO_std_1_coef,0.08872824710910461
tqwt_entropy_log_dec_17,0.08867409638448517
tqwt_entropy_log_dec_12,0.08865705169662184
tqwt_entropy_log_dec_25,0.08850772019342541
det_LT_TKEO_mean_1_coef,0.08828993165251602
det_entropy_log_7_coef,0.0882267443678325
tqwt_entropy_log_dec_27,0.08821281621776042
tqwt_entropy_shannon_dec_5,0.08809169222538023
det_TKEO_std_9_coef,0.08807915656191546
det_LT_TKEO_std_5_coef,0.08801227185087003
det_entropy_log_2_coef,0.0879815967430386
tqwt_entropy_log_dec_20,0.08792211810915232
det_LT_entropy_log_7_coef,0.08787472299559282
tqwt_stdValue_dec_10,0.0877996725907468
tqwt_entropy_log_dec_21,0.08774632136411031
tqwt_maxValue_dec_16,0.08773763024892457
det_entropy_log_8_coef,0.08748738083453732
det_LT_TKEO_mean_6_coef,0.08742102755866304
tqwt_TKEO_std_dec_5,0.08739351694722827
tqwt_minValue_dec_16,0.08733256282943813
tqwt_entropy_shannon_dec_4,0.08733065027232978
det_TKEO_mean_5_coef,0.08732255600779076
Ed2_1_coef,0.08732118218180702
det_LT_entropy_log_2_coef,0.08726598745462416
std_3rd_delta,0.08722388147463898
tqwt_TKEO_std_dec_14,0.08703285930019056
det_LT_entropy_log_8_coef,0.08696807411949138
tqwt_TKEO_mean_dec_5,0.0869168257312062
tqwt_stdValue_dec_3,0.08691667603640119
tqwt_entropy_shannon_dec_13,0.0866817282944404
tqwt_stdValue_dec_17,0.08662237783409085
tqwt_entropy_shannon_dec_16,0.08658493079224389
meanPeriodPulses,0.08643316652210253
mean_Log_energy,0.08642428185318782
tqwt_entropy_log_dec_18,0.086382857637979
app_entropy_log_2_coef,0.0863403582000401
det_LT_TKEO_mean_5_coef,0.08631337442381695
tqwt_entropy_log_dec_4,0.08620724798463433
tqwt_minValue_dec_12,0.08615240130438974
tqwt_stdValue_dec_24,0.08606959414670938
