,Combined_Score
Ed_7_coef,0.052969
tqwt_energy_dec_14,0.052968
tqwt_entropy_log_dec_33,0.052935
tqwt_entropy_log_dec_5,0.052358
tqwt_entropy_shannon_dec_9,0.052224
det_LT_TKEO_std_4_coef,0.051762
tqwt_TKEO_std_dec_9,0.051748
tqwt_TKEO_mean_dec_30,0.051408
tqwt_energy_dec_26,0.051228
tqwt_medianValue_dec_33,0.051070
tqwt_minValue_dec_10,0.050860
tqwt_entropy_log_dec_31,0.050633
tqwt_maxValue_dec_11,0.050122
tqwt_maxValue_dec_36,0.049808
tqwt_medianValue_dec_29,0.049485
tqwt_maxValue_dec_10,0.049456
Ed_9_coef,0.049382
tqwt_entropy_log_dec_30,0.049329
tqwt_medianValue_dec_31,0.049152
tqwt_minValue_dec_11,0.048482
RPDE,0.048335
tqwt_skewnessValue_dec_10,0.048197
tqwt_entropy_shannon_dec_5,0.047911
det_entropy_shannon_9_coef,0.047447
VFER_entropy,0.047402
tqwt_energy_dec_29,0.047367
mean_Log_energy,0.047285
det_LT_entropy_shannon_10_coef,0.046607
tqwt_skewnessValue_dec_9,0.046571
tqwt_TKEO_std_dec_3,0.046566
tqwt_entropy_log_dec_19,0.045821
tqwt_medianValue_dec_27,0.045745
det_LT_TKEO_std_8_coef,0.045523
det_LT_TKEO_mean_4_coef,0.045139
tqwt_minValue_dec_28,0.045093
det_TKEO_mean_9_coef,0.044744
Ed_2_coef,0.044680
Ed2_10_coef,0.044542
det_LT_TKEO_mean_10_coef,0.044413
tqwt_stdValue_dec_21,0.044281
det_LT_TKEO_std_10_coef,0.044275
tqwt_meanValue_dec_26,0.044049
tqwt_maxValue_dec_4,0.043934
det_TKEO_mean_3_coef,0.043877
det_LT_TKEO_mean_8_coef,0.043796
std_4th_delta_delta,0.043614
tqwt_medianValue_dec_20,0.043406
std_12th_delta_delta,0.043101
tqwt_energy_dec_15,0.042995
Ed_3_coef,0.042859
tqwt_meanValue_dec_35,0.042438
tqwt_TKEO_std_dec_13,0.041918
tqwt_entropy_log_dec_32,0.041862
app_LT_entropy_log_2_coef,0.041802
tqwt_minValue_dec_4,0.041567
tqwt_energy_dec_27,0.041507
tqwt_energy_dec_8,0.041445
tqwt_TKEO_std_dec_30,0.041303
tqwt_TKEO_std_dec_26,0.041301
Ed2_8_coef,0.041135
std_8th_delta_delta,0.041100
det_LT_entropy_log_7_coef,0.040991
tqwt_minValue_dec_5,0.040314
tqwt_meanValue_dec_25,0.040085
tqwt_TKEO_mean_dec_9,0.039858
tqwt_minValue_dec_1,0.039755
det_LT_entropy_shannon_3_coef,0.039721
app_LT_TKEO_mean_2_coef,0.039481
det_TKEO_std_4_coef,0.039342
det_LT_entropy_shannon_2_coef,0.039208
det_entropy_shannon_3_coef,0.038789
VFER_mean,0.038744
tqwt_kurtosisValue_dec_14,0.038356
std_10th_delta_delta,0.038003
tqwt_maxValue_dec_5,0.037943
det_entropy_shannon_4_coef,0.037891
tqwt_medianValue_dec_19,0.037395
det_LT_entropy_shannon_4_coef,0.037236
tqwt_entropy_log_dec_21,0.037192
EEG,0.036849
tqwt_minValue_dec_2,0.036698
std_11th_delta_delta,0.036695
tqwt_entropy_shannon_dec_23,0.036198
tqwt_minValue_dec_36,0.035927
tqwt_meanValue_dec_36,0.035771
tqwt_entropy_shannon_dec_21,0.035725
