,score
locShimmer,0.0035140279866476337
mean_MFCC_5th_coef,0.0035105733401686236
tqwt_entropy_shannon_dec_13,0.0034785248528333085
det_LT_entropy_log_1_coef,0.0034767805294179475
tqwt_skewnessValue_dec_21,0.0034680518348254802
det_entropy_log_1_coef,0.003439902031061954
tqwt_medianValue_dec_32,0.0033687616293501988
tqwt_skewnessValue_dec_16,0.003352240850166311
std_3rd_delta,0.0033321165913707137
tqwt_stdValue_dec_13,0.0033234733322488504
tqwt_skewnessValue_dec_9,0.00331603809115242
tqwt_skewnessValue_dec_19,0.0032817630962956963
tqwt_entropy_log_dec_2,0.003266944647761458
tqwt_maxValue_dec_1,0.003234876243560448
std_4th_delta_delta,0.0032023955816028902
tqwt_medianValue_dec_3,0.003176554062378723
std_6th_delta_delta,0.003119423259211934
tqwt_meanValue_dec_36,0.0030859296240710534
tqwt_medianValue_dec_10,0.0030792425749689633
apq3Shimmer,0.0030241863821829605
ddaShimmer,0.0030239983298193285
tqwt_skewnessValue_dec_7,0.0029902195370019656
tqwt_medianValue_dec_11,0.0029796140580737804
tqwt_energy_dec_27,0.0029473606155311295
tqwt_skewnessValue_dec_22,0.002935202910467208
tqwt_kurtosisValue_dec_28,0.002926351962011593
std_7th_delta_delta,0.0028862778727272807
std_MFCC_10th_coef,0.0028810097790728374
tqwt_TKEO_mean_dec_15,0.0028787766336481
tqwt_energy_dec_14,0.002850053512178577
tqwt_medianValue_dec_5,0.0028273868958892307
mean_8th_delta,0.0027908502655688045
numPeriodsPulses,0.002777978881323086
numPulses,0.0027570895240425965
VFER_NSR_TKEO,0.0027558599817764976
std_4th_delta,0.0027322606759034437
GQ_std_cycle_open,0.002721062199752344
tqwt_entropy_log_dec_1,0.0026942923487276484
GNE_SNR_SEO,0.0026865137796798265
tqwt_medianValue_dec_20,0.0026454653694405346
GQ_std_cycle_closed,0.0026120839472673287
tqwt_entropy_shannon_dec_9,0.002583901239929212
tqwt_stdValue_dec_12,0.0025734037603068294
tqwt_energy_dec_26,0.0025732035483386926
tqwt_skewnessValue_dec_17,0.0025549908380605112
tqwt_medianValue_dec_24,0.002548270850086113
tqwt_skewnessValue_dec_25,0.0025402367142148634
det_LT_entropy_log_2_coef,0.002536060604790318
tqwt_TKEO_std_dec_14,0.002500634677899417
tqwt_medianValue_dec_28,0.002494618520615056
std_5th_delta_delta,0.002492076890635494
std_6th_delta,0.002474535914801604
tqwt_medianValue_dec_26,0.002471892020114726
det_LT_entropy_log_10_coef,0.0024630167929355993
tqwt_medianValue_dec_36,0.0024401400240782775
IMF_NSR_entropy,0.0023508424991334105
std_7th_delta,0.0023160716751669595
tqwt_kurtosisValue_dec_35,0.0022929583244125588
app_LT_TKEO_mean_3_coef,0.0022920339152699134
tqwt_stdValue_dec_19,0.002276757437339609
tqwt_medianValue_dec_27,0.002254333656103423
mean_10th_delta_delta,0.00224093301699156
mean_MFCC_8th_coef,0.0022342318858635754
tqwt_medianValue_dec_33,0.0022082782994017123
det_entropy_log_10_coef,0.002200343611703426
f3,0.0021939565034722777
mean_MFCC_12th_coef,0.0021922959167532097
tqwt_maxValue_dec_19,0.0021921691467327404
mean_MFCC_1st_coef,0.0021835265713147332
det_entropy_log_2_coef,0.0021791551988632482
app_LT_TKEO_std_1_coef,0.0021627550629400027
apq11Shimmer,0.002155156169874505
f2,0.002128906173157389
std_MFCC_4th_coef,0.002121818456686635
std_MFCC_12th_coef,0.0021200849293953237
std_delta_delta_0th,0.0021058116150192963
tqwt_stdValue_dec_23,0.002085274888978186
tqwt_TKEO_mean_dec_17,0.0020799534533296237
IMF_NSR_SEO,0.0020787039513815602
f4,0.0020530758549926254
tqwt_stdValue_dec_22,0.0020461694410398427
std_MFCC_8th_coef,0.0020269154407339387
mean_9th_delta_delta,0.0020166606919681295
tqwt_TKEO_mean_dec_14,0.001995690250155959
det_LT_entropy_log_8_coef,0.0019945326116899984
tqwt_stdValue_dec_20,0.0019931949029171002
tqwt_medianValue_dec_18,0.0019905188895386725
tqwt_skewnessValue_dec_13,0.0019900909021239705
mean_MFCC_6th_coef,0.001988864632633893
mean_11th_delta_delta,0.0019757903215928746
det_LT_entropy_log_9_coef,0.0019668973402349327
det_LT_entropy_log_7_coef,0.0019653219981252386
mean_12th_delta,0.001963314361926117
tqwt_medianValue_dec_22,0.0019516963817440515
std_MFCC_7th_coef,0.001939056680290935
apq5Shimmer,0.001926986541856232
tqwt_stdValue_dec_8,0.0019186894867520177
mean_3rd_delta_delta,0.0019144798739292243
tqwt_energy_dec_28,0.0019068834171319055
mean_MFCC_10th_coef,0.001902475771828908
mean_delta_log_energy,0.001893902203349403
app_TKEO_std_6_coef,0.0018884587651367233
tqwt_skewnessValue_dec_30,0.0018857561071919972
mean_1st_delta_delta,0.0018751130971377153
tqwt_skewnessValue_dec_27,0.0018553455992737064
