,UMCFS_Importance
tqwt_TKEO_mean_dec_3,9295279332350.688
std_12th_delta,9253006402388.744
std_MFCC_1st_coef,9230478338761.06
tqwt_entropy_log_dec_11,9107057879653.13
det_entropy_log_7_coef,9090162015944.637
locShimmer,8906916047223.078
f2,8860382287467.188
tqwt_minValue_dec_2,8786210043748.836
tqwt_medianValue_dec_32,8780101549788.004
tqwt_kurtosisValue_dec_6,8554725654251.83
tqwt_skewnessValue_dec_5,8461084229560.092
tqwt_medianValue_dec_5,8387464825147.068
tqwt_TKEO_std_dec_25,8361122891649.191
tqwt_entropy_shannon_dec_36,8200690589159.506
IMF_SNR_entropy,8160077935066.853
tqwt_maxValue_dec_31,8094145879848.934
locPctJitter,8083117163367.901
tqwt_TKEO_std_dec_15,7783100478214.478
tqwt_stdValue_dec_3,7777064536945.844
tqwt_maxValue_dec_2,7751782903238.527
tqwt_minValue_dec_26,7595359731193.195
tqwt_kurtosisValue_dec_29,7559556230508.21
mean_delta_delta_log_energy,7471622901180.443
f1,7450059331617.2705
tqwt_skewnessValue_dec_4,7433142176386.736
mean_MFCC_2nd_coef,7261901426927.298
tqwt_stdValue_dec_1,7118427059419.872
tqwt_medianValue_dec_33,7104229229109.069
std_delta_delta_0th,7021736768792.656
mean_0th_delta,7007852195404.213
GNE_SNR_TKEO,6972166119954.553
tqwt_TKEO_std_dec_14,6844132431215.015
tqwt_skewnessValue_dec_10,6677689799299.211
mean_MFCC_0th_coef,6667082883350.434
det_entropy_shannon_10_coef,6644668305323.478
tqwt_entropy_shannon_dec_15,6597241903300.094
tqwt_maxValue_dec_12,6476536928020.458
tqwt_maxValue_dec_19,6444230054633.866
tqwt_medianValue_dec_25,6408852227516.551
tqwt_maxValue_dec_16,6407123990952.548
det_TKEO_std_9_coef,6389298071415.898
meanPeriodPulses,6384040403336.702
tqwt_minValue_dec_15,6253701408791.858
det_LT_entropy_log_3_coef,6104239353215.112
tqwt_entropy_log_dec_2,6099917442421.508
tqwt_TKEO_mean_dec_23,6033498937011.168
apq11Shimmer,5999735493828.402
tqwt_kurtosisValue_dec_26,5996486190195.981
std_0th_delta,5969127885974.805
tqwt_kurtosisValue_dec_3,5904767853451.0625
GNE_NSR_TKEO,5890759205832.234
tqwt_medianValue_dec_15,5883462835598.543
tqwt_medianValue_dec_23,5796236923871.703
tqwt_maxValue_dec_26,5783521169066.765
tqwt_medianValue_dec_26,5775725727797.472
tqwt_energy_dec_1,5641717642373.453
tqwt_entropy_log_dec_17,5523057932865.852
tqwt_entropy_shannon_dec_17,5470041949143.68
tqwt_entropy_log_dec_18,5466464943182.159
tqwt_entropy_log_dec_20,5438070898415.791
tqwt_skewnessValue_dec_12,5432704797848.918
tqwt_minValue_dec_1,5414101155736.39
tqwt_maxValue_dec_7,5353557231336.906
tqwt_skewnessValue_dec_22,5351567220807.105
tqwt_entropy_log_dec_29,5350959975230.122
tqwt_entropy_log_dec_26,5306199657943.567
tqwt_skewnessValue_dec_6,5263441800752.075
tqwt_medianValue_dec_3,5117150717151.89
tqwt_stdValue_dec_36,5033806334760.393
meanNoiseToHarmHarmonicity,5008106664603.987
tqwt_stdValue_dec_11,5007260202962.239
det_TKEO_mean_8_coef,4999033613078.618
tqwt_entropy_log_dec_33,4978944107006.617
tqwt_TKEO_mean_dec_26,4926020165631.837
tqwt_kurtosisValue_dec_22,4910256287644.766
tqwt_kurtosisValue_dec_21,4857462162048.906
tqwt_entropy_shannon_dec_19,4851339723102.646
tqwt_skewnessValue_dec_29,4689189791644.978
mean_5th_delta_delta,4660865459351.526
tqwt_TKEO_mean_dec_20,4486679167300.191
tqwt_meanValue_dec_36,4478109806177.057
GQ_std_cycle_open,4448595626244.929
IMF_SNR_TKEO,4412025957598.848
tqwt_kurtosisValue_dec_25,4306176223085.987
tqwt_entropy_log_dec_13,4281780004493.137
tqwt_kurtosisValue_dec_33,4276283192545.6284
std_2nd_delta,4251251660692.734
VFER_NSR_SEO,4200756521992.112
tqwt_kurtosisValue_dec_30,4121170875732.327
tqwt_kurtosisValue_dec_32,4112062248114.1875
std_1st_delta_delta,4041932309881.3354
std_9th_delta,4034474775610.6416
tqwt_medianValue_dec_36,4027705010597.2075
tqwt_minValue_dec_14,4019629361354.2275
mean_4th_delta_delta,3978292840359.868
tqwt_TKEO_std_dec_23,3954854823484.216
tqwt_entropy_log_dec_5,3943863881893.227
std_6th_delta_delta,3942781562699.0483
tqwt_kurtosisValue_dec_7,3924822338563.8237
tqwt_entropy_log_dec_24,3913930207928.1396
tqwt_skewnessValue_dec_20,3909822181387.4766
tqwt_skewnessValue_dec_11,3899485126750.5674
tqwt_entropy_log_dec_30,3893936223150.565
std_9th_delta_delta,3876978781375.996
det_entropy_log_6_coef,3826440086225.1567
tqwt_minValue_dec_11,3814303731678.7944
tqwt_kurtosisValue_dec_9,3755610183053.112
tqwt_TKEO_mean_dec_2,3707459399944.116
tqwt_skewnessValue_dec_17,3697355772865.5107
b1,3692592117119.5103
tqwt_kurtosisValue_dec_5,3658226273481.0933
tqwt_maxValue_dec_1,3624614659675.034
tqwt_skewnessValue_dec_32,3590251354858.2285
IMF_NSR_entropy,3581969260138.8105
mean_Log_energy,3533033208080.234
tqwt_entropy_log_dec_28,3439066089968.1826
det_LT_entropy_log_10_coef,3417854553654.2407
mean_MFCC_5th_coef,3416368668468.1636
tqwt_medianValue_dec_7,3398411958660.015
GNE_std,3394317549964.2427
tqwt_skewnessValue_dec_33,3389915364046.043
GNE_mean,3327292394430.2607
mean_1st_delta,3321135223200.172
tqwt_skewnessValue_dec_23,3296382712424.798
tqwt_skewnessValue_dec_30,3288092876899.198
det_LT_entropy_log_6_coef,3260657619125.2515
mean_MFCC_4th_coef,3204413730760.802
tqwt_kurtosisValue_dec_2,3165356291405.4805
meanHarmToNoiseHarmonicity,3098298844065.9634
apq5Shimmer,3074815064013.1416
tqwt_medianValue_dec_29,3059273521581.265
tqwt_energy_dec_34,3015055203632.492
tqwt_entropy_log_dec_32,2951665205126.1733
Ed_1_coef,2918876870407.818
std_MFCC_8th_coef,2823294320234.1016
tqwt_kurtosisValue_dec_35,2822891339874.2173
tqwt_skewnessValue_dec_1,2822011479710.8223
std_6th_delta,2768683675637.791
tqwt_kurtosisValue_dec_36,2740286297216.6484
VFER_std,2708781968602.986
tqwt_kurtosisValue_dec_13,2694312449062.651
tqwt_minValue_dec_36,2685850404832.002
tqwt_medianValue_dec_24,2655286571541.9463
