,0
Ed2_10_coef,1.0382578749253915e-31
det_LT_entropy_shannon_1_coef,3.9129099086484383e-31
det_LT_entropy_shannon_2_coef,7.463266611751957e-32
det_LT_entropy_shannon_3_coef,2.669183943368468e-32
det_LT_entropy_shannon_4_coef,4.306589710616696e-31
det_LT_entropy_shannon_5_coef,1.632711814615144e-31
det_LT_entropy_shannon_6_coef,6.623882346654155e-31
det_LT_entropy_shannon_7_coef,1.7902524053232644e-30
det_LT_entropy_shannon_8_coef,4.14000924546082e-31
det_LT_entropy_shannon_9_coef,1.0012986269074193e-30
det_LT_entropy_shannon_10_coef,2.0664246057269467e-31
det_LT_entropy_log_1_coef,1.6823255831636994e-32
det_LT_entropy_log_2_coef,7.336715665586776e-32
det_LT_entropy_log_3_coef,1.8131876009072998e-31
det_LT_entropy_log_4_coef,4.587964115750125e-32
det_LT_entropy_log_5_coef,1.5702595368634154e-31
det_LT_entropy_log_6_coef,2.1767303336224574e-32
det_LT_entropy_log_7_coef,5.0231867799211154e-33
det_LT_entropy_log_8_coef,3.1859002163601323e-32
det_LT_entropy_log_9_coef,2.95859492645082e-32
det_LT_entropy_log_10_coef,1.0887756310160215e-31
det_LT_TKEO_mean_1_coef,1.4353945984795257e-32
det_LT_TKEO_mean_2_coef,4.101018180647607e-32
det_LT_TKEO_mean_3_coef,6.619006795336386e-32
det_LT_TKEO_mean_4_coef,1.256614408703535e-32
det_LT_TKEO_mean_5_coef,2.182778133384823e-32
det_LT_TKEO_mean_6_coef,2.668125303577638e-31
det_LT_TKEO_mean_7_coef,3.45695751772998e-32
det_LT_TKEO_mean_8_coef,1.6328266700058554e-31
det_LT_TKEO_mean_9_coef,3.237885032028561e-32
det_LT_TKEO_mean_10_coef,1.7814776439700083e-33
det_LT_TKEO_std_1_coef,1.515725302124781e-31
det_LT_TKEO_std_2_coef,4.777947014945779e-32
det_LT_TKEO_std_3_coef,1.9832256990329343e-32
det_LT_TKEO_std_4_coef,1.2229991953569164e-31
det_LT_TKEO_std_5_coef,3.0308809388205634e-32
det_LT_TKEO_std_6_coef,2.044438157707666e-32
det_LT_TKEO_std_7_coef,7.213691161026283e-32
det_LT_TKEO_std_8_coef,9.3324624555597e-33
det_LT_TKEO_std_9_coef,1.0281311288271193e-31
det_LT_TKEO_std_10_coef,3.402397371199622e-31
app_LT_entropy_shannon_1_coef,3.51447865682575e-32
app_LT_entropy_shannon_2_coef,2.783295122164792e-33
app_LT_entropy_shannon_3_coef,1.234222799807458e-32
app_LT_entropy_shannon_4_coef,3.797661878994602e-33
app_LT_entropy_shannon_5_coef,1.9452918957254987e-32
app_LT_entropy_shannon_6_coef,2.3106100458857717e-32
app_LT_entropy_shannon_7_coef,6.4642432042768184e-34
app_LT_entropy_shannon_8_coef,4.475080339418877e-33
app_LT_entropy_shannon_9_coef,1.4274289493976835e-33
app_LT_entropy_shannon_10_coef,7.724670695636588e-33
app_LT_entropy_log_1_coef,3.7835278864615394e-32
app_LT_entropy_log_2_coef,1.3279840517250096e-32
app_LT_entropy_log_3_coef,3.8506640895955294e-32
app_LT_entropy_log_4_coef,4.1865107540581325e-32
app_LT_entropy_log_5_coef,1.1353620343505016e-32
app_LT_entropy_log_6_coef,4.4168328010702184e-32
app_LT_entropy_log_7_coef,2.29372784117848e-31
app_LT_entropy_log_8_coef,1.249384709993736e-32
app_LT_entropy_log_9_coef,2.174543337711181e-32
app_LT_entropy_log_10_coef,2.2807077547038333e-32
app_LT_TKEO_mean_1_coef,4.493274967761837e-32
app_LT_TKEO_mean_2_coef,2.3603063880718386e-32
app_LT_TKEO_mean_3_coef,1.7679684593052875e-33
app_LT_TKEO_mean_4_coef,2.3751901080701135e-32
app_LT_TKEO_mean_5_coef,3.236042710514356e-33
app_LT_TKEO_mean_6_coef,6.271678695464628e-32
app_LT_TKEO_mean_7_coef,8.953770466423309e-33
app_LT_TKEO_mean_8_coef,8.00782526287432e-35
app_LT_TKEO_mean_9_coef,1.46044340736368e-32
app_LT_TKEO_mean_10_coef,1.2529148907176561e-34
app_LT_TKEO_std_1_coef,1.4455737477292583e-31
app_LT_TKEO_std_2_coef,1.4595533482978338e-31
app_LT_TKEO_std_3_coef,2.4934334328180988e-31
app_LT_TKEO_std_4_coef,1.2103255686814955e-32
app_LT_TKEO_std_5_coef,1.476650073559056e-32
app_LT_TKEO_std_6_coef,1.8239927026737675e-32
app_LT_TKEO_std_7_coef,3.951659586137228e-32
app_LT_TKEO_std_8_coef,1.541656237105754e-32
app_LT_TKEO_std_9_coef,1.3099830694911012e-32
app_LT_TKEO_std_10_coef,5.201941345215868e-32
tqwt_energy_dec_1,5.144495716122908e-32
tqwt_energy_dec_2,2.288944057835779e-32
tqwt_energy_dec_3,4.2193512724593056e-34
tqwt_energy_dec_4,5.708305310150765e-32
tqwt_energy_dec_5,3.9687987625465165e-32
tqwt_energy_dec_6,3.0013775764145005e-32
tqwt_energy_dec_7,5.572716554407769e-32
tqwt_energy_dec_8,7.086987849303015e-33
tqwt_energy_dec_9,1.2211669132615602e-32
tqwt_energy_dec_10,7.601077714733004e-32
tqwt_energy_dec_11,2.9262396742485715e-32
tqwt_energy_dec_12,1.416582155529651e-33
tqwt_energy_dec_13,1.5712991897582703e-32
tqwt_energy_dec_14,6.775711113195531e-32
tqwt_energy_dec_15,6.030803550587383e-32
tqwt_energy_dec_16,1.1804678852623344e-32
tqwt_energy_dec_17,6.201283671510175e-32
tqwt_energy_dec_18,2.297882323608061e-32
tqwt_energy_dec_19,8.468737061815228e-32
tqwt_energy_dec_20,9.761486608957904e-33
tqwt_energy_dec_21,1.1772053842805382e-31
tqwt_energy_dec_22,5.140406819396185e-32
tqwt_energy_dec_23,9.351342914910585e-32
tqwt_energy_dec_24,3.297232219834774e-32
tqwt_energy_dec_25,5.01743594473939e-32
tqwt_energy_dec_26,4.913903736285642e-32
tqwt_energy_dec_27,6.47753849673501e-32
tqwt_energy_dec_28,4.584113841649846e-32
tqwt_energy_dec_29,5.618800800373154e-32
tqwt_energy_dec_30,1.4198805234741837e-33
tqwt_energy_dec_31,7.209721178002029e-33
tqwt_energy_dec_32,5.109905487439802e-33
tqwt_energy_dec_33,4.8274171273613143e-32
tqwt_energy_dec_34,6.657680333363796e-33
tqwt_energy_dec_35,5.7745110017633004e-33
tqwt_energy_dec_36,2.7924618643405065e-33
tqwt_entropy_shannon_dec_1,7.767448127251247e-32
tqwt_entropy_shannon_dec_2,2.8358430126181066e-32
tqwt_entropy_shannon_dec_3,7.330516104301072e-32
tqwt_entropy_shannon_dec_4,8.423983034905847e-32
tqwt_entropy_shannon_dec_5,6.881988275897044e-32
tqwt_entropy_shannon_dec_6,1.2764738695269456e-31
tqwt_entropy_shannon_dec_7,5.61652969980366e-32
tqwt_entropy_shannon_dec_8,5.6764597392902755e-33
tqwt_entropy_shannon_dec_9,3.9299920368968973e-32
tqwt_entropy_shannon_dec_10,1.2530277726707407e-32
tqwt_entropy_shannon_dec_11,5.941119889320078e-33
tqwt_entropy_shannon_dec_12,6.533557314184088e-32
tqwt_entropy_shannon_dec_13,5.662965136776962e-32
tqwt_entropy_shannon_dec_14,2.2788835091358686e-32
tqwt_entropy_shannon_dec_15,2.1077225965679363e-33
tqwt_entropy_shannon_dec_16,1.1155796690277893e-32
tqwt_entropy_shannon_dec_17,5.1770280028048004e-33
tqwt_entropy_shannon_dec_18,9.883217427696964e-33
tqwt_entropy_shannon_dec_19,1.7168609399101465e-33
tqwt_entropy_shannon_dec_20,1.4988957857878454e-32
tqwt_entropy_shannon_dec_21,8.75711827010954e-34
tqwt_entropy_shannon_dec_22,9.649201460187168e-34
tqwt_entropy_shannon_dec_23,1.2529288143473685e-32
tqwt_entropy_shannon_dec_24,8.438423806001792e-33
tqwt_entropy_shannon_dec_25,1.552206548006682e-33
tqwt_entropy_shannon_dec_26,8.930605691009035e-33
tqwt_entropy_shannon_dec_27,1.2133141581794234e-33
tqwt_entropy_shannon_dec_28,2.866424569131631e-32
tqwt_entropy_shannon_dec_29,4.882994425870253e-33
tqwt_entropy_shannon_dec_30,6.431146876285263e-32
tqwt_entropy_shannon_dec_31,5.565346336533167e-33
tqwt_entropy_shannon_dec_32,2.5403410439720533e-32
tqwt_entropy_shannon_dec_33,3.2058929788729297e-34
tqwt_entropy_shannon_dec_34,2.3018508019838383e-32
tqwt_entropy_shannon_dec_35,3.8529120337873057e-32
tqwt_entropy_shannon_dec_36,4.349479626233255e-33
tqwt_entropy_log_dec_1,2.452501794273515e-32
tqwt_entropy_log_dec_2,3.8478903092699525e-33
tqwt_entropy_log_dec_3,5.795225023843572e-32
tqwt_entropy_log_dec_4,4.014869802874142e-33
tqwt_entropy_log_dec_5,3.5324834801201125e-32
tqwt_entropy_log_dec_6,5.511455447284245e-32
tqwt_entropy_log_dec_7,1.3024173925437142e-32
tqwt_entropy_log_dec_8,3.268335592785935e-32
tqwt_entropy_log_dec_9,1.944424524441574e-33
tqwt_entropy_log_dec_10,5.8237617650919875e-33
tqwt_entropy_log_dec_11,2.0744533312206408e-32
tqwt_entropy_log_dec_12,5.199763671260752e-32
tqwt_entropy_log_dec_13,8.878840444735224e-33
tqwt_entropy_log_dec_14,5.012136930687441e-32
tqwt_entropy_log_dec_15,2.0994378247395752e-32
tqwt_entropy_log_dec_16,7.725958338035737e-32
tqwt_entropy_log_dec_17,1.025316340863631e-31
tqwt_entropy_log_dec_18,1.4192422633279432e-35
tqwt_entropy_log_dec_19,4.565037853527175e-33
tqwt_entropy_log_dec_20,8.742291136563082e-33
tqwt_entropy_log_dec_21,1.2281090796470415e-32
tqwt_entropy_log_dec_22,1.7864079795433636e-32
